trigger_code,cluster_code,primary_therapy_area,subtopic_title,doctor_trigger_label,navigation_pathways,trigger_search_keywords
AD_ALLERGY_ACUTE_URTICARIA,ACUTE_DIAGNOSED,Skin & allergy,Sudden hives / allergy – home care and when it is an emergency,Acute allergy – hives & swelling,Skin & allergy|Fever & common infections|Safety & first aid,allergy|acute allergy|hives|urticaria|red itchy rash|sudden rash|antihistamine syrup|breathing difficulty|lip swelling|anaphylaxis warning|emergency allergy signs
AD_ASTHMA_ACUTE_WHEEZE,ACUTE_DIAGNOSED,Breathing & chest problems,Acute wheezing / asthma attack – using nebuliser or inhaler at home,Acute wheeze / asthma attack – current episode,Breathing & chest problems|Chronic conditions|Medicine use & antibiotics,wheeze|acute asthma attack|breathlessness|noisy breathing|chest tightness|nebuliser|inhaler with spacer|reliever medicine|salbutamol|emergency signs asthma
AD_BRONCHIOLITIS_INFANT,ACUTE_DIAGNOSED,Breathing & chest problems,Bronchiolitis in babies – breathing support and why antibiotics are not needed,Bronchiolitis – baby with cold & fast breathing,Breathing & chest problems|Newborn & infant care|Fever & common infections,bronchiolitis|RSV infection|infant wheeze|fast breathing baby|feeding difficulty|nose block|saline drops|no antibiotic bronchiolitis|hospital observation
AD_CROUP,ACUTE_DIAGNOSED,Breathing & chest problems,Croup – barking cough and noisy breathing in young children,Croup – barking cough & noisy breathing,Breathing & chest problems|Fever & common infections|Safety & first aid,croup|barking cough|stridor|noisy breathing|night-time breathing trouble|hoarse voice|steroid dose|nebulisation|keep child calm|emergency signs croup
AD_DENGUE_CONFIRMED,ACUTE_DIAGNOSED,Fever & common infections,"Dengue fever – fluids, platelet myths and warning signs",Dengue fever – home care & warning signs,Fever & common infections|Safety & first aid,dengue|dengue fever|NS1 positive|platelet count|platelets kam|body pain|joint pain|rash|fluids|ORS|warning signs dengue
AD_DIARRHEA_ACUTE_WATERY,ACUTE_DIAGNOSED,Stomach & digestion,Acute watery diarrhea – ORS and zinc instead of antibiotics,Loose motions – ORS & zinc (no antibiotic),Stomach & digestion|Fever & common infections|Medicine use & antibiotics,diarrhea|diarrhoea|loose motions|loose stools|dast|watery stool|dehydration|ORS|zinc|no antibiotic in diarrhea
AD_DIARRHEA_BLOODY,ACUTE_DIAGNOSED,Stomach & digestion,Bloody diarrhea (dysentery) – antibiotic treatment and hydration,Bloody stools – serious diarrhea needing antibiotic,Stomach & digestion|Fever & common infections|Medicine use & antibiotics|Safety & first aid,bloody diarrhoea|blood in stool|mucus and blood|dysentery|shigella|painful motions|fever with blood|antibiotic for dysentery|admission warning
AD_EAR_ACUTE_OM,ACUTE_DIAGNOSED,Breathing & chest problems,First ear infection (acute otitis media) – pain relief and antibiotics,Acute ear infection – pain relief & antibiotic,Breathing & chest problems|Fever & common infections|Safety & first aid,ear infection|acute otitis media|ear pain|kan mein dard|earache|ear pulling|fever with ear pain|antibiotic for ear|ear drops|follow-up ear
AD_FEVER_BACTERIAL_THROAT_AB,ACUTE_DIAGNOSED,Fever & common infections,Bacterial throat infection / tonsillitis – full antibiotic course,Sore throat / tonsillitis – antibiotic course,Fever & common infections|Breathing & chest problems|Medicine use & antibiotics,sore throat|throat infection|tonsillitis|bacterial throat|gale mein dard|pus on tonsils|strep throat|antibiotic|10 day course
AD_FEVER_VIRAL_NO_AB,ACUTE_DIAGNOSED,Fever & common infections,Viral fever and cold in children – why antibiotics are not needed,Fever – no antibiotic needed,Fever & common infections|Breathing & chest problems|Medicine use & antibiotics,fever|viral fever|common cold|cold and cough|sardi|bukhar|no antibiotic|viral infection|home care for fever
AD_HEAD_INJURY_MILD,ACUTE_DIAGNOSED,Safety & first aid,Mild head injury – observation at home after doctor check,Mild head injury – home observation,Safety & first aid|Child development & behaviour,head injury|minor head trauma|fell from bed|bumped head|no fracture|no CT scan|observation at home|vomiting after fall|behaviour change|red flag head injury
AD_LUNG_PNEUMONIA_HOME,ACUTE_DIAGNOSED,Breathing & chest problems,Chest infection / pneumonia treated at home with oral antibiotics,Pneumonia at home – antibiotic & breathing care,Breathing & chest problems|Fever & common infections|Medicine use & antibiotics|Safety & first aid,pneumonia|chest infection|lung infection|fast breathing|chest retractions|oral antibiotic|home treatment|chest x ray|danger signs pneumonia
AD_MALARIA_CONFIRMED,ACUTE_DIAGNOSED,Fever & common infections,"Malaria in children – diagnosis, treatment and home monitoring",Malaria – treatment & fever monitoring,Fever & common infections|Safety & first aid,malaria|malarial parasite|MP test|chills and rigors|high fever|sweating|antimalarial|ACT|quinine|fever chart
AD_NEWBORN_JAUNDICE_PHOTO,ACUTE_DIAGNOSED,Newborn & infant care,Newborn jaundice requiring phototherapy – what parents need to know,Newborn jaundice – phototherapy needed,Newborn & infant care|Fever & common infections|Safety & first aid,newborn jaundice|pila pan|yellow baby|bilirubin|phototherapy lights|eye cover|feeding during phototherapy|repeat bilirubin test|duration of treatment
AD_NEWBORN_SEPSIS,ACUTE_DIAGNOSED,Newborn & infant care,Serious newborn infection (sepsis) – NICU care and antibiotics,Newborn serious infection – NICU & IV antibiotics,Newborn & infant care|Fever & common infections|Safety & first aid,newborn sepsis|serious infection in newborn|high fever in newborn|very sleepy baby|poor feeding newborn|NICU admission|IV antibiotics|blood culture|danger signs newborn
AD_SEIZURE_FEBRILE_SIMPLE,ACUTE_DIAGNOSED,Fever & common infections,Simple febrile seizure – what it means and how to give first aid,Febrile seizure – explanation & first aid,Fever & common infections|Safety & first aid|Child development & behaviour,febrile seizure|fits with fever|daura bukhar mein|convulsion|rolling eyes|stiff body|febrile convulsion|not epilepsy|seizure first aid|when to admit
AD_SKIN_BACTERIAL_INFECTION,ACUTE_DIAGNOSED,Skin & allergy,"Boils and bacterial skin infections – cleaning, medicines and when to drain","Boils / skin infection – cream, tablets or drainage?",Skin & allergy|Fever & common infections|Safety & first aid|Medicine use & antibiotics,boils|furuncle|folliculitis|skin infection|impetigo|red swollen skin|pus|antibiotic cream|oral antibiotic|incision and drainage|home wound care
AD_TYPHOID_CONFIRMED,ACUTE_DIAGNOSED,Fever & common infections,Typhoid fever – long antibiotic treatment and home care,Typhoid – long antibiotic course,Fever & common infections|Stomach & digestion|Medicine use & antibiotics,typhoid|enteric fever|Widal|blood culture|prolonged fever|stomach pain|constipation|diarrhea|long course antibiotic|relapse
AD_UTI_ACUTE,ACUTE_DIAGNOSED,Fever & common infections,"Acute urine infection – antibiotics, urine tests and prevention",Urine infection – antibiotic & urine test,Fever & common infections|Stomach & digestion|Medicine use & antibiotics,urine infection|UTI|painful urination|burning urine|frequent urine|smelly urine|fever with no cold|antibiotic for UTI|urine culture|kidney infection
AD_VOMITING_GASTROENTERITIS,ACUTE_DIAGNOSED,Stomach & digestion,Vomiting with gastroenteritis – home fluids and dehydration warning signs,Vomiting & gastroenteritis – home care & dehydration signs,Stomach & digestion|Fever & common infections|Safety & first aid,vomiting|ultee|gastroenteritis|stomach bug|loose stools and vomiting|small frequent sips|ORS|IV drip|dehydration signs
CC_ADHD_MED_SCHOOL,CHRONIC_CONDITION,Child development & behaviour,"ADHD – medicines, school plan and behaviour strategies",ADHD – medicines & school plan,Child development & behaviour|Teen & adolescent health|Chronic conditions,ADHD|hyperactivity|inattention|stimulant medicine|non stimulant|school accommodations|teacher meeting|screen time
CC_ASTHMA_ACTION_PLAN,CHRONIC_CONDITION,Breathing & chest problems,"Asthma action plan – green, yellow and red zones for your child",Asthma – home action plan & warning zones,Breathing & chest problems|Chronic conditions|Safety & first aid,asthma action plan|green zone|yellow zone|red zone|peak flow|symptom zones|rescue inhaler|emergency asthma signs
CC_ASTHMA_CONTROLLER,CHRONIC_CONDITION,Breathing & chest problems,Childhood asthma – daily controller inhaler and long-term control,Asthma – daily controller inhaler & control,Breathing & chest problems|Chronic conditions|Medicine use & antibiotics,asthma|bronchial asthma|controller inhaler|preventer inhaler|steroid inhaler|daily inhaler|budesonide|fluticasone|wheeze|growth concern
CC_ATOPIC_DERM_CHRONIC,CHRONIC_CONDITION,Skin & allergy,"Atopic dermatitis – daily skin care, flares and safe steroid use",Eczema – long-term control & steroid cream,Skin & allergy|Chronic conditions|Newborn & infant care,atopic dermatitis|eczema|dry itchy skin|emollient|moisturiser routine|steroid cream|flare control|infection risk scratching
CC_AUTISM_THERAPY,CHRONIC_CONDITION,Child development & behaviour,"Autism – therapies, daily routine and family support",Autism – therapy & daily routine,Child development & behaviour|Chronic conditions|Teen & adolescent health,autism|ASD|speech therapy|occupational therapy|special education|routine|visual schedule|family support
